ingresos;costos_fijos;costos_variables;resultado
1292419;96470;206427;989522
1330978;157666;64056;1109256
826944;120720;90936;615288
717527;220381;181975;315171
691562;36944;240826;413792
1234490;201990;248796;783704
737649;74268;79548;583833
1143830;65994;111518;966318
1872531;74709;29579;1768243
637108;131254;167249;338605
1027810;225282;8671;793857
1753576;181792;65891;1505893
1117616;19417;114442;983757
1005731;1689;138633;865409
1311283;233232;170517;907534
1879874;232625;80142;1567107
921231;1998;30111;889122
1908045;234464;194590;1478991
1428605;122550;5647;1300408
1115746;19028;22423;1074295
751841;221419;229195;301227
559972;125534;186442;247996
766979;172923;15165;578891
845651;153549;241584;450518
1063809;104216;110175;849418
1846895;163343;124945;1558607
566414;53448;50605;462361
1222663;32946;148428;1041289
1613464;248113;121530;1243821
1069186;239798;119492;709896
1937875;188502;211837;1537536
1032841;135195;180375;717271
1517050;216799;72704;1227547
991810;146009;198998;646803
1567853;166347;28388;1373118
558996;27951;194391;336654
1087038;132588;184475;769975
638360;157695;139621;341044
842678;157524;23061;662093
903225;54566;213597;635062
775058;122787;150977;501294
1827530;167461;142644;1517425
586686;208620;109160;268906
514474;189847;157272;167355
1481341;168259;6584;1306498
810282;222068;139686;448528
1623927;171903;162262;1289762
531855;223312;87725;220818
1033169;128241;196727;708201
847869;198894;153988;494987
1138926;231610;313;907003
1233505;77699;174933;980873
1548424;190085;107622;1250717
860937;98875;26703;735359
1686499;192221;108110;1386168
686629;192756;86804;407069
1474178;227061;221916;1025201
531914;43133;156500;332281
759637;88358;216441;454838
1114564;151228;9962;953374
542153;237699;52492;251962
755198;66099;122464;566635
1273097;213833;112131;947133
965298;212211;90021;663066
1222530;217768;2289;1002473
531822;27195;119726;384901
1333182;135299;33925;1163958
1471123;4138;108266;1358719
1881409;155802;227290;1498317
674264;241572;241523;191169
534479;183325;134482;216672
1733443;126073;36342;1571028
1621298;176128;171156;1274014
1430910;200635;210344;1019931
687930;80296;172511;435123
1735415;138685;76927;1519803
672952;6586;155462;510904
562839;69914;206637;286288
1524676;151393;46640;1326643
1596417;242709;125596;1228112
1190501;248527;93845;848129
510998;30463;12840;467695
1996592;1263;171775;1823554
847995;217581;201152;429262
1675617;242310;25477;1407830
1863582;158387;30911;1674284
1312306;164949;227147;920210
924174;131105;108257;684812
1625604;199090;142512;1284002
823154;182919;164406;475829
1171672;129082;54576;988014
1690349;90732;34098;1565519
934317;76550;69485;788282
1719769;65345;108569;1545855
743393;217327;248723;277343
1443147;113958;100371;1228818
1181397;233175;147275;800947
1430347;201008;169057;1060282
1292712;151037;39829;1101846
584096;46583;239557;297956
1513082;217872;15520;1279690
1705171;2614;141242;1561315
918778;116964;112128;689686
1889273;185687;24051;1679535
1479819;185143;195902;1098774
501521;129189;244930;127402
1678232;162298;120555;1395379
1993991;241694;227055;1525242
818958;53233;235965;529760
1141310;12793;202118;926399
1024668;17902;24761;982005
989277;55645;209988;723644
548225;194585;172467;181173
786318;242973;60709;482636
1464378;229612;12530;1222236
1987097;73676;180256;1733165
518364;3504;99195;415665
602734;162268;79116;361350
1214437;223879;65704;924854
1183533;49751;211616;922166
717592;145874;241410;330308
576458;69083;83909;423466
1735188;169733;63133;1502322
534174;90906;13306;429962
1418909;194564;31124;1193221
1119442;225449;37295;856698
1630574;62100;96383;1472091
881410;76693;142893;661824
1245285;79147;199128;967010
1409493;240075;220109;949309
966248;214160;236780;515308
607254;239230;190177;177847
1891009;78393;81738;1730878
1021099;7579;17447;996073
1703909;226263;15838;1461808
1514327;76094;90829;1347404
606728;112086;32617;462025
1739618;88100;233413;1418105
1503808;204262;204373;1095173
1988383;210315;65902;1712166
1348326;114185;179788;1054353
998476;80046;121284;797146
1605550;65480;176654;1363416
1894854;166675;87624;1640555
939552;162872;219739;556941
1463907;248787;119886;1095234
1039739;202204;52145;785390
1440059;63030;5774;1371255
1451913;92833;35464;1323616
1402233;46971;181761;1173501
940176;159225;195996;584955
1355039;40281;224536;1090222
1839543;34957;86089;1718497
1177427;120872;65918;990637
642053;66427;134975;440651
1356833;139557;221523;995753
859698;226488;155468;477742
1878398;26861;10991;1840546
1758748;170332;64506;1523910
996512;176837;214822;604853
1823199;14385;142178;1666636
1964960;148026;192629;1624305
1397122;56201;198030;1142891
1320279;125027;14274;1180978
966305;80137;16202;869966
1501988;164550;124291;1213147
1795415;134512;10186;1650717
959591;239618;30091;689882
1457430;90576;187620;1179234
1421493;111491;137251;1172751
1188211;222835;79053;886323
1767742;12987;200822;1553933
749949;23958;64242;661749
976132;120109;103818;752205
701734;33921;141076;526737
1207883;160210;198182;849491
966708;148993;248223;569492
1512841;45721;235434;1231686
1405044;26980;175664;1202400
1569563;133863;155712;1279988
742426;58881;188172;495373
1931774;2328;150350;1779096
1799055;125884;27522;1645649
1319888;103224;60830;1155834
1378372;6341;139750;1232281
546401;3978;15215;527208
1341932;100259;18578;1223095
1647292;205915;11326;1430051
1372983;165839;101761;1105383
1017633;138752;138909;739972
1207030;59955;120830;1026245
670750;229307;21427;420016
1866426;148424;177461;1540541
1066216;81094;91105;894017
764067;57805;212961;493301
795389;67420;138146;589823
531420;78354;86355;366711
928375;65200;220027;643148
528231;172847;198938;156446
738038;136336;3544;598158
886640;92615;61427;732598
929516;101952;209912;617652
711648;153055;91978;466615
676021;86478;174751;414792
977556;7128;75750;894678
679356;19386;13878;646092
508997;65439;25238;418320
742387;193072;196522;352793
670675;190571;125574;354530
541119;148530;131994;260595
830841;183418;245562;401861
563208;103511;76922;382775
806726;126281;219497;460948
567774;213934;198874;154966
522392;106615;77675;338102
992210;58467;187973;745770
935405;91449;196514;647442
626898;235393;70233;321272
824731;189440;45353;589938
959766;120248;181517;658001
761134;76510;204899;479725
639052;227367;85150;326535
684370;31457;97843;555070
582622;97395;35172;450055
724175;198037;35543;490595
612450;226665;116314;269471
757792;236231;194193;327368
811030;182369;199712;428949
524422;203567;182450;138405
559518;98107;94512;366899
589049;244460;230630;113959
977658;4503;28674;944481
867025;246643;211103;409279
913944;28663;148656;736625
949163;247426;110921;590816
929996;220395;116836;592765
936046;135716;177930;622400
734421;20499;18445;695477
531403;164858;158694;207851
706658;140792;18750;547116
937971;133066;134863;670042
504243;46733;189145;268365
501451;178833;212563;110055
571407;102752;168314;300341
523307;184680;239725;98902
649084;219455;212997;216632
593028;228028;218564;146436
666095;144118;114958;407019
515482;198286;66109;251087
765415;21859;33135;710421
587230;67499;244668;275063
548332;5316;147287;395729
661582;15966;209766;435850
723455;6141;107776;609538
676633;226886;180790;268957
963344;181281;180500;601563
923643;15243;57089;851311
548951;33226;62514;453211
773687;51062;228544;494081
792416;247745;94031;450640
841806;225625;99463;516718
668748;59033;218392;391323
505599;231578;188239;85782
525319;66892;174885;283542
727722;204263;65650;457809
563632;165214;244681;153737
893669;100763;75907;716999
933594;10469;13709;909416
703769;151792;62945;489032
506213;3847;225690;276676
614988;24589;149373;441026
819170;208981;103978;506211
859695;204003;139196;516496
625016;29675;19796;575545
867850;56344;120238;691268
591888;160869;184663;246356
966603;210919;80401;675283
929473;192919;27865;708689
731695;151415;96018;484262
556173;194652;192714;168807
691371;216614;155048;319709
608442;78454;200688;329300
759165;84751;100424;573990
703825;219538;83190;401097
746926;47608;9904;689414
981977;112663;211396;657918
745660;42026;13487;690147
841203;184583;5689;650931
899773;152794;11428;735551
558492;187308;141950;229234
746114;28512;89299;628303
561245;153693;195375;212177
505014;166700;24878;313436
674921;144265;185810;344846
946439;110251;208137;628051
747050;220647;97672;428731
684696;114425;126913;443358
862156;179618;10145;672393
791897;25532;108359;658006
717369;38383;104097;574889
518453;177039;79284;262130
796919;83931;136434;576554
861365;49228;222049;590088
547116;244198;95465;207453
966127;116714;22243;827170
736136;245826;115318;374992
913175;149326;100531;663318
616042;123345;79652;413045
859830;164615;47014;648201
568657;127921;33800;406936
712170;213142;86876;412152
964079;84514;17228;862337
624607;78924;205389;340294
630694;134454;230249;265991
794601;145535;148377;500689
729719;21311;66212;642196
994449;73142;181553;739754
974143;138023;158441;677679
559277;7542;146043;405692
551673;94014;87736;369923
840146;179537;92822;567787
624196;202320;41097;380779
927325;192570;125431;609324
850853;80294;48401;722158
741280;163567;247923;329790
725439;9191;215887;500361
721855;149025;143687;429143
653506;234388;207742;211376
920067;201559;53619;664889
934527;130875;4806;798846
763452;195088;196724;371640
830026;117929;32556;679541
828280;173033;235067;420180
616722;53271;237819;325632
987331;165312;115609;706410
944432;246919;26324;671189
513686;98845;7411;407430
808605;183505;90940;534160
894682;192867;71656;630159
931291;121698;65034;744559
586381;36942;79733;469706
802852;44295;187726;570831
899409;206955;142526;549928
941241;165953;215415;559873
813753;166840;43432;603481
565775;114254;208719;242802
590255;35262;197489;357504
568081;204767;206170;157144
748745;119616;83033;546096
952067;192753;161249;598065
648926;29693;228570;390663
719041;85121;194531;439389
926927;239825;162267;524835
999371;97925;168727;732719
704676;121534;37444;545698
764783;140855;111048;512880
531093;52029;166264;312800
863793;120236;26473;717084
614457;147659;143845;322953
866994;4478;194227;668289
838461;146738;40102;651621
933596;34787;190187;708622
619276;80500;94858;443918
720037;189757;216992;313288
641412;160631;201824;278957
592348;95973;80972;415403
737377;243663;200270;293444
668684;74811;57371;536502
892886;26119;149334;717433
601697;77433;61741;462523
558606;142291;204759;211556
862307;72688;12719;776900
947019;102228;146625;698166
571929;240751;97314;233864
991294;68409;118912;803973
850254;247983;214239;388032
657992;166478;136408;355106
897942;58037;247340;592565
528655;247982;178481;102192
717099;111815;46839;558445
766491;171932;3974;590585
522764;62709;215079;244976
514723;97501;227431;189791
767376;203354;28698;535324
986050;32115;184754;769181
616466;175755;41710;399001
501429;81126;103520;316783
587920;10545;89;577286
672897;24841;228187;419869
866488;145982;24077;696429
614681;71368;11408;531905
838180;214301;231851;392028
962800;248855;183087;530858
991166;122655;150244;718267
730175;22990;211423;495762
957294;68094;44924;844276
765615;69442;99588;596585
818460;173981;3996;640483
881162;97285;156289;627588
520832;57934;113170;349728
529579;156366;162811;210402
857411;158390;102178;596843
815038;57049;206843;551146
522120;67385;177965;276770
814438;57286;29291;727861
886466;21770;205909;658787
857307;222451;222440;412416
706940;149591;115608;441741
754632;41496;173262;539874
656956;175970;156554;324432
718929;57039;60345;601545
998572;7262;167199;824111
509915;9857;91518;408540
631049;92905;97867;440277
713820;225290;77421;411109
528139;58526;204313;265300
849268;7864;17216;824188
699200;85202;244999;368999
905365;212729;235767;456869
752151;39551;212162;500438
666721;210832;140449;315440
604975;21083;126365;457527
816719;21108;125678;669933
971570;205126;40793;725651
769496;112154;15842;641500
596492;182267;234732;179493
756160;37616;107417;611127
822383;167447;237249;417687
686396;232340;184880;269176
927023;152435;70839;703749
785949;154674;63490;567785
660309;45397;146104;468808
966106;29456;88551;848099
821751;38245;37024;746482
810783;181478;64483;564822
516846;29520;133816;353510
981585;12420;14830;954335
641388;90497;7835;543056
764579;16100;180534;567945
984441;113541;83714;787186
746785;46726;342;699717
820105;220410;86354;513341
707688;29778;238214;439696
919492;48099;184447;686946
611515;203643;247175;160697
621575;139177;218699;263699
772941;142627;13280;617034
620053;146018;219161;254874
955419;74778;42137;838504
592331;196442;230122;165767
707625;127030;32559;548036
515298;32086;245281;237931
855621;129162;70483;655976
626576;49517;247525;329534
591736;29692;215593;346451
663980;62830;9783;591367
710536;180400;72010;458126
846726;129996;222434;494296
562472;198612;51534;312326
894163;34709;158044;701410
963423;101358;211400;650665
868166;99475;75990;692701
746011;556;247084;498371
991089;32903;24208;933978
815312;107738;176279;531295
528413;57212;7627;463574
909610;171536;9005;729069
651659;94008;64165;493486
515105;92841;178386;243878
543551;13515;38100;491936
938810;3239;236098;699473
871877;57560;39006;775311
776507;105612;40424;630471
528676;216998;197662;114016
945421;167319;112379;665723
598214;155546;109214;333454
564595;75434;222862;266299
958973;24680;211136;723157
541323;95712;203568;242043
827859;205116;155916;466827
630764;125549;27967;477248
921051;83476;92329;745246
660233;89143;223001;348089
865784;240354;104892;520538
630877;228528;194278;208071
500080;9148;93419;397513
719379;101809;229537;388033
882230;190212;139980;552038
968889;87342;214913;666634
626561;169768;184150;272643
596724;143072;158495;295157
621943;94710;13194;514039
581191;134781;126642;319768
916800;224640;229725;462435
902016;77122;96259;728635
624452;124805;242654;256993
713196;189716;51164;472316
788896;162748;63762;562386
535880;4819;191539;339522
933270;243667;29673;659930
738718;203114;95555;440049
594307;3859;140115;450333
769262;234223;135425;399614
845493;138483;30860;676150
989197;35822;55310;898065
842718;160055;139623;543040
637762;136322;59163;442277
721499;209311;56686;455502
631357;100478;9116;521763
889699;62810;224500;602389
743184;119814;94451;528919
880416;155304;229540;495572
583590;76411;141631;365548
952675;73528;109046;770101
511306;10440;146185;354681
877074;178654;17090;681330
657972;51815;72284;533873
933472;4071;93972;835429
766533;98278;73284;594971
671444;222732;27405;421307
521592;162606;169007;189979
510887;187375;178774;144738
658061;216774;170386;270901
804615;119167;185116;500332
965652;114293;27328;824031
591607;195533;223182;172892
572626;29607;184827;358192
808011;72026;121911;614074
522749;95979;32519;394251
988716;214244;16296;758176
980162;249915;39726;690521
519846;50881;88268;380697
676671;140299;182243;354129
561650;9760;90566;461324
675747;119936;18895;536916
526431;144643;204156;177632
820689;93255;146519;580915
629916;62758;169590;397568
863464;57853;201738;603873
558853;77411;245752;235690
537164;185652;145487;206025
749020;20835;200003;528182
901711;77420;35528;788763
790770;184983;193928;411859
514178;45761;233521;234896
500410;75708;138987;285715
638305;15245;209242;413818
761241;204674;122711;433856
897269;124376;19291;753602
566057;117627;14941;433489
715646;17859;89972;607815
983619;21368;230699;731552
930712;87721;202563;640428
930265;177477;121568;631220
725789;18034;26941;680814
842718;131878;186684;524156
626010;53785;59352;512873
628767;53106;199813;375848
995035;90557;136458;768020
723014;140520;25005;557489
731148;95981;73611;561556
857111;42221;158017;656873
978478;246187;47474;684817
651510;161814;73888;415808
628628;162869;78722;387037
659138;37455;100391;521292
981325;113425;33537;834363
902223;86320;147948;667955
849778;229662;16056;604060
925953;25365;148044;752544
974645;247620;75774;651251
925294;159632;192363;573299
663554;41114;245873;376567
647650;50374;141262;456014
658829;38953;230186;389690
998157;113173;168759;716225
773139;71488;162812;538839
989552;220615;192609;576328
896730;109589;81511;705630
714473;23529;41707;649237
761573;203204;141036;417333
537249;176511;26990;333748
875492;69552;104537;701403
747086;96443;165589;485054
500085;203970;59469;236646
578613;238697;194755;145161
554424;248079;210960;95385
588349;196836;15774;375739
917868;208136;90786;618946
531814;224827;68615;238372
620812;119509;245355;255948
806569;94911;218943;492715
977962;23465;179924;774573
604512;201476;97137;305899
858101;33667;165060;659374
902098;92577;53888;755633
539630;97563;180827;261240
947498;96822;61603;789073
570611;23231;172327;375053
992920;2290;45624;945006
685397;220549;14877;449971
558570;12869;172947;372754
576102;52604;157803;365695
559219;182616;220773;155830
869670;177179;154267;538224
665665;102765;160968;401932
984113;48885;232134;703094
727005;177950;188879;360176
592188;229248;24225;338715
723451;92660;42720;588071
657482;113599;244095;299788
668337;242790;145386;280161
890574;219175;90667;580732
981283;67463;14248;899572
877043;50085;128075;698883
797150;151842;247145;398163
907090;161244;109461;636385
901247;79093;15570;806584
945018;244073;205923;495022
614452;121580;208065;284807
634559;154233;104922;375404
994386;175642;234243;584501
674097;30009;101799;542289
646510;136550;228967;280993
631147;186588;172171;272388
699042;193882;167955;337205
606223;218735;48098;339390
810746;2868;16619;791259
629082;208820;202912;217350
532751;213821;118026;200904
977414;163516;169310;644588
551748;134159;182813;234776
749743;232402;12075;505266
573424;229985;23274;320165
701723;51568;79765;570390
689201;79014;80173;530014
710152;239615;214787;255750
731935;67365;247521;417049
626537;166054;172425;288058
640517;49338;245850;345329
725171;218244;106630;400297
950602;165783;171874;612945
942206;98142;133982;710082
571222;222232;232325;116665
646884;81472;236701;328711
788346;171144;14545;602657
825607;154137;133984;537486
775101;13460;41725;719916
639912;196533;37916;405463
866203;170083;249354;446766
531205;60248;228704;242253
762773;166632;242294;353847
802619;88194;120015;594410
702355;142880;193385;366090
628055;184391;185352;258312
583570;16311;158079;409180
833933;227093;188552;418288
935647;240279;26693;668675
649025;208825;133567;306633
723722;89576;92722;541424
531237;187885;163222;180130
761422;157274;185398;418750
772437;129784;142930;499723
645599;66387;144681;434531
896864;246946;39439;610479
607994;215921;126545;265528
892818;124592;6611;761615
902694;184585;249090;469019
771909;211507;116262;444140
705400;59356;37406;608638
913205;240073;139245;533887
520447;131293;103363;285791
958499;151487;178537;628475
522820;51865;231277;239678
850706;108569;127435;614702
730547;180698;167727;382122
795138;37872;21103;736163
628464;21852;196284;410328
820326;154582;65122;600622
570542;46232;72677;451633
631873;226966;80301;324606
884760;29317;101410;754033
907403;10188;38781;858434
672328;220158;167018;285152
920469;179073;235137;506259
889614;242501;87242;559871
752680;1660;26951;724069
912401;153639;229781;528981
854618;94740;184109;575769
536193;202676;188263;145254
974613;130103;145915;698595
714184;195615;174812;343757
683871;224647;237028;222196
727086;102864;25309;598913
979131;145441;43302;790388
770814;67311;207152;496351
657454;156348;46395;454711
827867;223996;197621;406250
953536;64279;195536;693721
718432;66823;195916;455693
826418;154964;85414;586040
754144;2213;66244;685687
537809;9524;186007;342278
903839;220983;187774;495082
798933;135317;246577;417039
882628;61080;113426;708122
876466;139013;176657;560796
863425;8747;154343;700335
520100;181764;88677;249659
968436;238729;222374;507333
951934;198423;102799;650712
836076;144136;99735;592205
556207;996;227881;327330
917565;75095;96510;745960
859057;66708;22755;769594
973491;9538;157816;806137
989908;15582;34663;939663
568861;195989;116007;256865
582771;92498;53520;436753
721237;168374;71593;481270
803401;40930;54537;707934
619935;166033;164217;289685
795466;11316;199853;584297
826446;227681;18301;580464
889234;198967;157805;532462
685652;116172;134821;434659
621573;227185;85536;308852
666846;171461;63166;432219
925528;33423;129431;762674
803902;159701;159175;485026
814546;138969;77955;597622
503496;25046;55382;423068
625814;243986;174758;207070
779163;198835;125060;455268
537400;148681;123245;265474
728755;40443;231725;456587
795437;60988;215581;518868
955387;123585;154044;677758
553384;249985;40064;263335
979462;220861;84329;674272
996403;227211;82994;686198
973160;3080;171275;798805
729528;144902;105140;479486
502117;204425;28991;268701
925984;96315;37622;792047
784093;109529;243122;431442
680578;220707;237380;222491
503228;40883;82969;379376
850612;135476;113542;601594
738167;240058;162463;335646
728471;34117;480;693874
694486;129681;103633;461172
984544;125860;51413;807271
955204;80168;123408;751628
834646;188037;53926;592683
667255;125934;104012;437309
584859;71430;132220;381209
632422;65859;8794;557769
858993;15863;240310;602820
938556;222482;74920;641154
540085;81218;107399;351468
975452;225124;24573;725755
620906;40953;31651;548302
831803;115956;110008;605839
540668;87701;118332;334635
514114;8583;82419;423112
921576;43083;153694;724799
904762;1015;214821;688926
892853;94337;241796;556720
736232;114526;240097;381609
910521;55264;103734;751523
911674;17841;29531;864302
930459;216825;72204;641430
719352;64041;113726;541585
843094;110187;119241;613666
936180;237963;133602;564615
611190;38129;90018;483043
911299;46039;125557;739703
970957;158268;107922;704767
612015;84111;89186;438718
846298;44733;66722;734843
947860;16716;194779;736365
840635;149379;40996;650260
540406;152457;37784;350165
950844;83047;213156;654641
842698;219799;62176;560723
516055;170766;180999;164290
728664;142395;182698;403571
758320;150284;148708;459328
928526;157802;813;769911
627458;244462;114213;268783
805218;64353;35028;705837
877370;45959;34102;797309
827663;222086;248436;357141
527388;73865;54968;398555
784532;9493;51709;723330
519470;194957;86945;237568
671902;233725;136815;301362
513167;104910;162071;246186
612326;141677;58247;412402
516007;17009;29516;469482
949734;69463;154724;725547
523993;215303;8000;300690
796637;3265;183807;609565
820446;38997;118264;663185
976590;61972;142824;771794
817819;44628;242275;530916
738658;58750;240280;439628
804393;76300;154494;573599
590613;98069;101088;391456
605499;36167;187675;381657
895766;219879;131070;544817
987273;106851;148981;731441
987603;163004;180136;644463
946836;34931;46867;865038
751766;174487;169095;408184
923184;239534;92090;591560
651235;35183;15216;600836
580048;43293;164475;372280
963197;10842;41233;911122
566865;15517;193031;358317
992934;132071;139758;721105
802472;137276;154818;510378
730043;95722;179708;454613
940711;29054;117041;794616
769460;166164;127110;476186
767080;131432;77473;558175
862245;151811;140256;570178
849167;187338;229605;432224
513961;29371;70018;414572
780533;131939;152080;496514
881084;34087;50198;796799
828917;132459;230382;466076
878972;233443;241785;403744
656652;133383;156595;366674
813836;14092;68754;730990
709717;63197;17145;629375
750833;231530;132765;386538
890532;220792;177316;492424
920875;90304;81094;749477
590236;86723;49392;454121
511526;124145;203570;183811
892561;137501;23446;731614
595081;204250;216662;174169
936520;183522;8298;744700
686949;137229;173457;376263
752489;3894;153093;595502
791910;16664;184888;590358
889304;93702;219967;575635
692243;88476;66807;536960
616165;67446;178019;370700
895560;237461;5126;652973
554068;58479;113844;381745
549371;103637;21167;424567
807050;170920;42936;593194
952849;200668;33896;718285
695632;234069;23722;437841
524289;206795;148010;169484
792951;208255;239392;345304
536156;165880;237095;133181
565877;248871;115738;201268
813522;214569;178588;420365
888795;9614;81669;797512
969940;185565;39121;745254
964440;193134;3145;768161
720183;202420;46568;471195
511440;31565;180120;299755
597056;126004;122733;348319
758008;109942;195361;452705
877859;76827;208765;592267
637309;193737;241976;201596
822786;212012;195742;415032
598714;134665;234605;229444
815488;64401;210342;540745
551721;182586;68805;300330
895191;180836;31916;682439
840372;99404;215197;525771
856922;149572;33806;673544
930544;240160;172739;517645
870531;38125;170710;661696
830658;70062;62096;698500
624301;129654;201555;293092
895946;174815;6436;714695
837541;148030;161338;528173
717349;106208;157381;453760
785410;228033;236524;320853
904828;140355;117798;646675
923398;122568;37197;763633
660969;74965;183236;402768
988433;138839;233941;615653
679871;107919;70569;501383
880776;246981;222060;411735
840253;73598;135622;631033
925765;97297;232794;595674
555624;105641;195493;254490
