Orden;Horas;Importe
OS-351;3.5;569990
OS-593;2;569990
OS-698;2;569990
OS-872;3.48;569990
OS-484;2;554238
OS-665;2;551629
OS-769;2.19;546886
OS-645;2;545183
OS-288;6;542534
OS-360;4;540468
OS-261;3;536081
OS-607;3.5;534940
OS-970;2;528046
OS-848;2;527509
OS-979;9;520506
OS-620;3;519863
OS-764;1.36;517908
OS-236;2;516743
OS-690;1;504149
OS-1039;1;495744
OS-723;2;488533
OS-584;3;484990
OS-813;5.86;484990
OS-667;2.4;484989
OS-681;4.48;484989
OS-691;4.53;484989
OS-1012;3.63;484989
OS-311;4;470382
OS-986;4.17;469166
OS-200;1.35;468883
OS-208;2;465386
OS-225;2;465386
OS-289;0.2;463297
OS-489;3;458023
OS-52;2.9;455550
OS-861;2;453029
OS-1048;1.25;450880
OS-363;1.25;448325
OS-485;1.5;446432
OS-529;2.5;439240
OS-298;0.8;436164
OS-250;1;424830
OS-327;1;424790
OS-442;1.15;421122
OS-202;3.06;417340
OS-146;2;414422
OS-921;1.4;413807
OS-866;2;410308
OS-479;6;404924
OS-241;1;404293
OS-711;1.4;403862
OS-23;0.18;401938
OS-890;3.01;399002
OS-689;2.04;393637
OS-510;6;392700
OS-646;2.99;389989
OS-673;3.75;388877
OS-553;5.54;388527
OS-120;0.51;383637
OS-1025;1.4;382295
OS-32;1.16;380649
OS-598;2.47;379999
OS-472;1.4;377086
OS-380;6;371028
OS-384;3.5;366882
OS-767;3;364990
OS-783;0.5;362426
OS-811;2;362123
OS-19;12;357000
OS-619;2.81;344989
OS-773;1.7;344989
OS-540;6;342515
OS-70;1;340930
OS-663;0.67;326090
OS-574;1.5;325999
OS-352;5;323680
OS-615;2.89;322995
OS-342;1.5;320845
OS-831;3;320586
OS-870;1;318492
OS-922;3.4;312980
OS-974;2.84;311992
OS-367;1.57;310579
OS-807;2;309990
OS-842;1.93;309990
OS-473;1;307797
OS-932;0.7;307486
OS-193;1.86;304990
OS-829;2;303583
OS-136;1.6;299989
OS-194;2.13;299989
OS-209;1.62;299989
OS-491;2.24;299989
OS-678;2.49;299989
OS-718;2.6;299989
OS-784;3;299989
OS-860;2.6;299989
OS-862;3.2;299989
OS-984;2.55;299989
OS-992;2.4;299989
OS-1005;2.42;299989
OS-1018;2.47;299989
OS-103;1.52;299988
OS-61;3.6;298049
OS-355;2.5;294990
OS-374;2.39;294990
OS-613;1.89;294990
OS-644;2.4;294990
OS-701;2.15;294990
OS-951;2.01;294990
OS-996;2.26;294990
OS-1049;2.44;294990
OS-641;2.42;294989
OS-834;2.62;294989
OS-467;0.7;293158
OS-590;0.4;288881
OS-530;2;280383
OS-545;2.1;280000
OS-245;0.9;279600
OS-383;0.9;279600
OS-559;1.5;279600
OS-575;0.8;279600
OS-772;0.83;279600
OS-841;0.83;279600
OS-885;0.83;279600
OS-946;0.83;279600
OS-736;1.8;279599
OS-816;0.83;279599
OS-1013;0.83;279599
OS-1024;0.83;279599
OS-147;3.57;279495
OS-169;1.4;278924
OS-614;0.61;277934
OS-80;2.67;277658
OS-800;1.7;277658
OS-845;1.4;275998
OS-49;1;274996
OS-708;0.85;273668
OS-86;4;273333
OS-63;0.27;272861
OS-603;1.15;271999
OS-826;1;271503
OS-343;0.54;271363
OS-253;4;270946
OS-997;0.7;270610
OS-611;2;270249
OS-97;2.8;269990
OS-321;2.99;269990
OS-329;3;269990
OS-371;2.95;269990
OS-483;2.94;269990
OS-638;2.94;269990
OS-655;2.9;269990
OS-656;2.98;269990
OS-670;2.98;269990
OS-687;2.97;269990
OS-688;2.94;269990
OS-693;2.97;269990
OS-697;2.9;269990
OS-709;3;269990
OS-730;3;269990
OS-734;3;269990
OS-760;3.21;269990
OS-822;2.87;269990
OS-957;2.82;269990
OS-994;2.94;269990
OS-155;1.5;266679
OS-775;1.95;265490
OS-945;2.36;265490
OS-881;2.95;264989
OS-643;4;262853
OS-58;4;261800
OS-77;4;261800
OS-408;4;261800
OS-532;4;261800
OS-802;4;261800
OS-973;4;261800
OS-264;1.42;259990
OS-339;2.8;259990
OS-617;2.82;259990
OS-738;2.9;259990
OS-776;2.75;259990
OS-939;2;259990
OS-983;2.7;259990
OS-286;1.08;259000
OS-873;2;257919
OS-164;1.12;257708
OS-1035;4;257040
OS-131;2.55;254990
OS-960;2.91;254990
OS-766;1.65;254988
OS-792;1.89;254988
OS-581;2.94;254602
OS-555;2.04;253995
OS-969;1.81;252744
OS-931;2.62;248220
OS-437;1.1;247245
OS-888;3.55;246056
OS-177;0.81;245864
OS-985;2.7;244990
OS-657;2.36;244989
OS-833;2.26;244989
OS-846;2.4;244989
OS-995;2.26;244989
OS-1003;2.28;244989
OS-1028;2.34;244989
OS-179;0.7;243677
OS-557;1;243322
OS-950;2.94;242991
OS-338;0.7;242766
OS-758;0.7;242766
OS-980;1.85;242329
OS-305;3;240955
OS-566;3;240955
OS-410;3;240497
OS-331;1.36;240000
OS-252;1.36;239990
OS-135;2.57;237992
OS-220;2.61;237992
OS-988;2.28;237992
OS-1001;1.1;237762
OS-150;6;236466
OS-94;2.44;234989
OS-852;2.88;233991
OS-856;2.98;233991
OS-496;2.78;233990
OS-886;1.41;233743
OS-576;0.7;233620
OS-782;0.7;232703
OS-1042;4;231336
OS-206;1;230935
OS-260;2.16;230908
OS-586;2.78;230908
OS-597;2.78;230908
OS-599;2.49;230908
OS-794;2.15;230908
OS-404;1.19;230000
OS-41;1.2;229990
OS-99;1.3;229990
OS-117;1.66;229990
OS-128;1.66;229990
OS-129;1.74;229990
OS-160;1.77;229990
OS-174;1.44;229990
OS-188;1.5;229990
OS-211;1.44;229990
OS-212;1.19;229990
OS-235;1.55;229990
OS-238;1.44;229990
OS-257;0.8;229990
OS-279;1.57;229990
OS-306;2.03;229990
OS-315;2.15;229990
OS-316;1.12;229990
OS-387;2.84;229990
OS-522;2.44;229990
OS-561;2.25;229990
OS-686;1.59;229990
OS-828;2.04;229990
OS-859;1.72;229990
OS-891;1.72;229990
OS-916;0.9;229990
OS-959;1.83;229990
OS-1038;1.81;229990
OS-85;3;229989
OS-124;2;229989
OS-134;1.8;229989
OS-151;1.11;229989
OS-190;1.66;229989
OS-219;1.54;229989
OS-560;1.14;229989
OS-1000;2.31;229989
OS-1007;2.31;229989
OS-855;0.5;228398
OS-213;0.78;227204
OS-521;2;225970
OS-366;1.8;224345
OS-893;0.38;222726
OS-413;0.78;222448
OS-744;1.29;220995
OS-358;2.91;219991
OS-1020;2.31;219991
OS-44;2.2;219989
OS-57;2.1;219989
OS-141;1.09;219989
OS-314;1.41;219989
OS-401;1.84;219989
OS-446;1.86;219989
OS-474;1.27;219989
OS-528;2.16;219989
OS-588;1.27;219989
OS-637;1.45;219989
OS-666;2.44;219989
OS-672;2.16;219989
OS-694;1.31;219989
OS-715;0.6;219989
OS-749;1.8;219989
OS-750;1.3;219989
OS-805;1;219989
OS-897;2.31;219989
OS-901;1.33;219989
OS-926;1.53;219989
OS-933;2.26;219989
OS-955;1.19;219989
OS-989;2.31;219989
OS-1002;2.26;219989
OS-1010;1.23;219989
OS-324;0.9;218883
OS-118;0.69;218880
OS-418;1;218880
OS-874;3;215390
OS-210;1.47;215000
OS-887;1.26;213999
OS-425;0.7;213966
OS-1044;1;213089
OS-313;1.97;212572
OS-726;1.3;210707
OS-547;3;210525
OS-433;1;210261
OS-724;2.65;209991
OS-116;2;209990
OS-923;1.8;209990
OS-929;2.06;209990
OS-956;2.2;209990
OS-122;1.08;209000
OS-458;0.48;209000
OS-647;1.03;209000
OS-682;1.84;209000
OS-221;2.05;208999
OS-159;2.13;208240
OS-303;3;207910
OS-503;3;207910
OS-548;1;206148
OS-109;0.3;206000
OS-497;0.91;206000
OS-1041;0.2;206000
OS-765;2.27;205700
OS-695;1.17;205174
OS-130;2.1;204989
OS-318;2;204989
OS-596;2;204989
OS-661;1.83;204989
OS-680;2;204989
OS-719;1.95;204989
OS-756;1.95;204989
OS-825;1.8;204989
OS-883;1.84;204989
OS-961;2.03;204989
OS-962;1.83;204989
OS-965;1.84;204989
OS-1023;1.87;204989
OS-105;0.7;204390
OS-184;2;203373
OS-664;4;201491
OS-739;2;200259
OS-255;0.2;200119
OS-65;2;199990
OS-68;2.01;199990
OS-161;0.6;199990
OS-166;2.01;199990
OS-176;2.08;199990
OS-201;1.98;199990
OS-243;2.09;199990
OS-375;1.05;199990
OS-428;1.3;199990
OS-752;1.68;199990
OS-918;1.86;199990
OS-115;1.95;199989
OS-440;1.94;199989
OS-509;1.85;199989
OS-517;1.84;199989
OS-675;2.03;199989
OS-50;2.58;199000
OS-145;0.6;199000
OS-170;0.6;199000
OS-199;0.13;199000
OS-904;0.84;199000
OS-949;1.3;199000
OS-511;1.25;197773
OS-226;3;196350
OS-330;3;196350
OS-332;3;196350
OS-357;3;196350
OS-432;3;196350
OS-494;3;196350
OS-652;3;196350
OS-780;3;196350
OS-386;1.03;196177
OS-710;0.3;195355
OS-993;1.22;194173
OS-514;0.7;193195
OS-573;2;192074
OS-587;2;192074
OS-629;2;192074
OS-902;2;192074
OS-907;2;192074
OS-1016;2;192074
OS-1026;2;192074
OS-1040;2;192074
OS-470;2;192072
OS-512;2;191910
OS-513;2;191910
OS-507;2.12;190000
OS-67;1.32;189989
OS-74;2.14;189989
OS-75;1.86;189989
OS-78;2.14;189989
OS-100;2.03;189989
OS-292;1.69;189989
OS-373;1.78;189989
OS-477;0.88;189989
OS-541;2.94;189989
OS-549;1.72;189989
OS-768;1.52;189989
OS-948;2;189989
OS-964;1.69;189989
OS-1006;1.69;189989
OS-1011;1.79;189989
OS-854;1;189350
OS-101;1.05;186999
OS-189;1.14;186999
OS-453;1.55;186989
OS-1021;1.46;186989
OS-1050;2.87;185708
OS-526;0.9;185495
OS-544;1.64;185495
OS-838;1.2;185495
OS-943;1;185495
OS-89;0.89;183999
OS-942;1.6;183999
OS-771;1.43;183998
OS-707;2.59;183993
OS-294;0.5;183869
OS-536;2;183700
OS-892;0.3;183696
OS-849;1.5;183274
OS-302;1;182889
OS-438;2.25;181550
OS-126;1.47;179990
OS-127;1.56;179990
OS-293;1.75;179990
OS-66;1.98;179989
OS-83;1.8;179989
OS-789;1.4;179989
OS-301;1.3;178492
OS-390;1.41;178492
OS-554;1.79;178492
OS-742;2;178492
OS-770;1.69;178492
OS-857;1.2;178492
OS-910;1.37;178492
OS-940;1;178492
OS-223;3.33;177786
OS-317;3;177786
OS-515;0.73;176899
OS-519;1;176896
OS-91;1.74;174991
OS-1015;1.47;174991
OS-192;1.5;174990
OS-254;1.36;174990
OS-424;1.79;174990
OS-429;1.5;174990
OS-439;1.47;174990
OS-445;1.81;174990
OS-492;1.47;174990
OS-542;1.79;174990
OS-722;1.51;174990
OS-743;1.47;174990
OS-912;1.32;174990
OS-947;1.5;174990
OS-685;0.8;172922
OS-402;0.7;170992
OS-399;1.79;169990
OS-499;1.24;169989
OS-543;2.65;169000
OS-692;1.37;169000
OS-880;1.22;168999
OS-975;0.65;167995
OS-51;0.66;167990
OS-73;0.65;167990
OS-88;1.5;167990
OS-133;1;167990
OS-138;1.62;167990
OS-205;0.7;167990
OS-230;0.5;167990
OS-262;1.2;167990
OS-295;0.7;167990
OS-300;0.39;167990
OS-309;1.58;167990
OS-476;0.8;167990
OS-562;0.9;167990
OS-676;1.3;167990
OS-830;0.6;167990
OS-971;1;167990
OS-640;1;167989
OS-876;1;167989
OS-895;1;166992
OS-716;1.4;166341
OS-602;0.5;165925
OS-60;0.62;164690
OS-284;2.5;163281
OS-319;1.08;162753
OS-594;1.79;159991
OS-43;0.46;159990
OS-119;0.72;159990
OS-991;1;159990
OS-878;1;159222
OS-102;1.47;159090
OS-214;1.26;159090
OS-268;1.21;159090
OS-389;1.7;159090
OS-482;1.07;159090
OS-348;1.16;159089
OS-552;1.79;159089
OS-906;1.5;158883
OS-59;1.2;157990
OS-72;1.41;157990
OS-90;1.2;157990
OS-92;1.29;157990
OS-98;2.4;157990
OS-154;1.5;157990
OS-165;1.32;157990
OS-197;1.31;157990
OS-259;1.6;157990
OS-271;1.37;157990
OS-276;1.5;157990
OS-310;1.38;157990
OS-328;1.18;157990
OS-405;1.66;157990
OS-414;1.52;157990
OS-628;1.4;157990
OS-832;1.33;157990
OS-837;1.69;157990
OS-924;1.22;157990
OS-1022;1.18;157990
OS-1030;1.37;157990
OS-96;1.1;157989
OS-196;1.47;157989
OS-218;1.47;157989
OS-345;1.32;157989
OS-431;1.7;157989
OS-454;1.66;157989
OS-501;1.29;157989
OS-633;0.5;156195
OS-416;0.8;155465
OS-858;0.7;155072
OS-84;0.68;155000
OS-132;1.59;155000
OS-265;1.1;155000
OS-987;1;155000
OS-1009;0.53;155000
OS-172;1;154958
OS-263;1.32;150000
OS-571;1.2;150000
OS-671;0.8;149998
OS-54;2.1;149990
OS-81;1.46;149990
OS-95;1.35;149990
OS-104;1.5;149990
OS-636;1;149990
OS-737;1.16;149990
OS-871;1.16;149990
OS-1031;1.24;149990
OS-480;1;149062
OS-175;1.05;149000
OS-908;1.5;148883
OS-354;1;148353
OS-1033;0.2;148307
OS-579;0.3;147669
OS-714;1;146884
OS-660;2;146638
OS-755;0.4;146406
OS-504;1;146400
OS-322;0.4;144825
OS-729;2;143847
OS-606;0.3;143728
OS-394;0.5;143061
OS-662;1;142595
OS-797;1.9;141670
OS-71;1.25;140000
OS-107;1.38;140000
OS-299;1.66;140000
OS-365;2;140000
OS-407;1.66;140000
OS-450;1.19;140000
OS-721;2.94;140000
OS-163;1.17;139999
OS-148;0.58;139990
OS-621;0.2;139593
OS-798;1.5;139187
OS-272;1.27;136850
OS-976;1.5;135598
OS-468;0.7;134562
OS-465;1;133334
OS-650;1;132465
OS-498;2;130900
OS-865;1.5;129353
OS-76;2;128520
OS-198;2;128520
OS-278;2;128520
OS-377;2;128520
OS-546;2;128520
OS-631;2;128520
OS-376;0.15;128226
OS-368;0.5;126265
OS-379;0.7;125900
OS-827;1;125814
OS-270;1.5;125635
OS-362;0.17;125505
OS-527;0.5;125195
OS-913;1;125056
OS-525;0.3;125000
OS-359;2;124000
OS-291;0.5;123622
OS-464;1.45;123470
OS-350;0.45;121106
OS-441;1.87;120000
OS-137;0.43;119927
OS-847;1.85;119001
OS-42;2;119000
OS-403;1;119000
OS-610;1.85;118881
OS-658;1;118810
OS-113;2;118524
OS-224;2;118524
OS-228;2;118524
OS-240;2;118524
OS-269;2;118524
OS-312;2;118524
OS-417;2.5;118524
OS-570;2;118524
OS-604;2;118524
OS-627;2;118524
OS-630;2;118524
OS-733;2;118524
OS-821;2;118524
OS-851;2;118524
OS-882;2;118524
OS-1037;2;118524
OS-392;0.5;118050
OS-216;0.5;117029
OS-936;0.5;116900
OS-1034;1;115679
OS-409;2;115668
OS-419;2;115668
OS-823;0.3;114655
OS-337;0.29;114013
OS-62;0.72;113389
OS-531;0.85;113311
OS-478;0.3;111842
OS-585;0.38;111100
OS-406;1;110450
OS-934;0.5;110177
OS-469;2;109242
OS-563;0.3;109086
OS-25;0.99;108042
OS-114;0.5;108000
OS-1047;0.4;107283
OS-625;1.85;106993
OS-231;0.5;106889
OS-53;2;106672
OS-180;2;106672
OS-185;2;106672
OS-344;2;106672
OS-395;2;106672
OS-564;2;106672
OS-592;2;106672
OS-778;2;106672
OS-779;2;106672
OS-790;2;106672
OS-791;2;106672
OS-803;2;106672
OS-952;2;106672
OS-963;2;106672
OS-998;2;106672
OS-905;0.1;105779
OS-341;0.2;105659
OS-818;0.5;104989
OS-635;0.5;103529
OS-506;1.5;102281
OS-448;2;100745
OS-612;2;100745
OS-705;2;100745
OS-727;2;100745
OS-735;2;100745
OS-867;2;100745
OS-875;2;100745
OS-917;2;100745
OS-753;0.4;99991
OS-203;0.51;99990
OS-273;0.3;99990
OS-222;0.45;99901
OS-290;0.3;99822
OS-307;0.19;99808
OS-396;0.5;99106
OS-759;0.4;99001
OS-323;0.8;99000
OS-400;0.4;99000
OS-568;0.4;99000
OS-648;0.35;99000
OS-799;0.4;98596
OS-486;1;98000
OS-356;0.3;96999
OS-572;0.3;96999
OS-422;1.5;96390
OS-609;1.5;96390
OS-748;1.5;96390
OS-451;0.25;96278
OS-915;0.4;95179
OS-456;0.3;94993
OS-336;2;94819
OS-706;0.3;94306
OS-181;1;94273
OS-889;0.33;93991
OS-713;0.5;93394
OS-795;0.27;93307
OS-340;0.2;93058
OS-267;0.5;92555
OS-785;0.3;92091
OS-966;0.4;90999
OS-601;0.3;90772
OS-534;0.6;90751
OS-421;0.33;90680
OS-234;1.5;88893
OS-844;1.5;88893
OS-505;1.5;88889
OS-462;0.3;88753
OS-720;0.3;88753
OS-488;0.41;88560
OS-864;0.2;88001
OS-533;0.3;87170
OS-920;1.5;86751
OS-372;0.3;86550
OS-925;1;86252
OS-287;0.5;86226
OS-762;0.3;86091
OS-853;0.3;86091
OS-449;0.3;86001
OS-819;0.3;86000
OS-941;0.39;85991
OS-423;0.45;85974
OS-978;0.5;85001
OS-434;0.2;84126
OS-444;0.3;84000
OS-447;0.3;84000
OS-580;0.5;83264
OS-703;0.3;82202
OS-817;0.3;82202
OS-1045;1.1;81252
OS-622;1.5;80004
OS-539;0.23;78619
OS-595;0.3;78306
OS-369;0.3;77791
OS-538;1.2;77112
OS-914;0.4;75971
OS-381;0.3;75440
OS-788;0.5;75188
OS-516;0.3;75001
OS-282;0.18;74490
OS-430;0.3;74436
OS-436;0.2;74436
OS-757;0.3;73991
OS-741;0.3;73989
OS-801;0.7;72584
OS-937;0.3;72090
OS-712;1;71569
OS-815;0.5;71289
OS-787;0.3;69991
OS-435;0.33;69990
OS-535;0.22;69990
OS-600;0.14;69990
OS-812;0.3;69990
OS-850;0.9;69939
OS-232;0.5;69807
OS-537;0.2;69253
OS-900;1;69203
OS-777;0.5;69120
OS-274;0.1;68989
OS-927;0.25;68901
OS-896;1;67415
OS-809;1;65450
OS-930;0.5;65097
OS-112;0.25;65082
OS-69;1;64260
OS-149;1;64260
OS-361;1;64260
OS-370;1;64260
OS-427;1;64260
OS-481;1;64260
OS-654;1;64260
OS-659;1;64260
OS-704;1;64260
OS-751;1;64260
OS-781;1;64260
OS-884;1;64260
OS-935;1;64260
OS-981;1;64260
OS-1032;1;64260
OS-237;1.2;64001
OS-411;0.5;63779
OS-793;0.4;63326
OS-82;1;61488
OS-520;0.8;61305
OS-605;0.3;60001
OS-460;0.3;59990
OS-589;0.17;59990
OS-728;0.3;59990
OS-740;0.1;59990
OS-944;0.3;59990
OS-953;0.17;59990
OS-958;0.14;59990
OS-999;0.1;59990
OS-1052;0.3;59990
OS-814;0.16;59749
OS-55;1;59262
OS-139;1;59262
OS-156;1;59262
OS-217;1;59262
OS-364;1;59262
OS-398;1;59262
OS-567;1;59262
OS-725;1;59262
OS-761;1;59262
OS-810;1;59262
OS-824;1;59262
OS-899;1;59262
OS-903;1;59262
OS-968;1;59262
OS-1017;1;59262
OS-1036;1;57834
OS-382;1;54621
OS-1043;1;54621
OS-123;1;53336
OS-157;1;53336
OS-500;0.82;52693
OS-774;0.8;51408
OS-669;1;50373
OS-909;0.3;50010
OS-632;0.3;49199
OS-843;1;47410
OS-1027;1;47410
OS-898;1;47168
OS-869;0.5;46154
OS-304;0.8;43697
OS-183;0.7;37335
OS-618;0.5;32725
OS-702;0.5;32725
OS-820;0.5;32725
OS-677;0.5;32130
OS-1008;0.5;32130
OS-1046;0.5;32130
OS-1051;0.5;32130
OS-954;0.63;29990
OS-227;0.5;29631
OS-443;0.5;29631
OS-623;0.5;29631
OS-877;0.5;29631
OS-1004;0.5;29631
OS-1029;0.5;28917
OS-550;0.1;28496
OS-320;0.45;27000
OS-79;0.5;26668
OS-110;0.5;26668
OS-153;0.5;23705
OS-616;0.1;22111
OS-121;0.35;20242
OS-808;0.3;17779
OS-275;0.23;15000
OS-990;0.25;14816
OS-412;0.15;14604
OS-277;0.15;9639
OS-639;0.1;9470
OS-173;2.31;4050
